"","smoc2_normal1","smoc2_normal3","smoc2_normal4","smoc2_fibrosis1","smoc2_fibrosis2","smoc2_fibrosis3","smoc2_fibrosis4"
"ENSMUSG00000002524",1826,2374,2415,4080,3172,3570,2730
"ENSMUSG00000002546",1701,2013,2333,2743,2196,2550,2308
"ENSMUSG00000002550",1174,1427,1689,1093,904,1039,946
"ENSMUSG00000002565",940,915,1477,6094,5926,5438,5814
"ENSMUSG00000002578",127,84,118,405,272,276,255
"ENSMUSG00000002580",793,1134,1097,947,839,1059,629
"ENSMUSG00000002588",1,0,0,0,0,1,0
"ENSMUSG00000002602",548,806,534,8285,5528,6147,6629
"ENSMUSG00000002603",283,400,346,3593,2624,2603,2027
"ENSMUSG00000002608",920,1136,1214,1765,1396,1554,1207
"ENSMUSG00000002617",216,223,187,492,320,400,369
"ENSMUSG00000002625",1308,1895,1818,2280,1716,2581,1997
"ENSMUSG00000002633",33,32,24,6,17,17,9
"ENSMUSG00000002635",215,270,276,399,271,349,319
